daily,f0_
2013-01-01,56953
2013-01-02,36830
2013-01-03,38808
2013-01-04,50391
2013-01-05,48352
2013-01-06,37549
2013-01-07,40173
2013-01-08,39394
2013-01-09,42443
2013-01-10,50096
2013-01-11,57220
2013-01-12,58749
2013-01-13,45401
2013-01-14,44555
2013-01-15,44300
2013-01-16,49059
2013-01-17,54232
2013-01-18,64849
2013-01-19,63762
2013-01-20,55986
2013-01-21,46159
2013-01-22,55426
2013-01-23,56229
2013-01-24,59459
2013-01-25,67778
2013-01-26,66052
2013-01-27,51840
2013-01-28,45322
2013-01-29,48646
2013-01-30,53266
2013-01-31,60583
2013-02-01,71272
2013-02-02,64159
2013-02-03,51344
2013-02-04,50679
2013-02-05,51862
2013-02-06,54305
2013-02-07,64702
2013-02-08,75030
2013-02-09,69166
2013-02-10,53646
2013-02-11,52787
2013-02-12,54127
2013-02-13,56182
2013-02-14,63495
2013-02-15,77743
2013-02-16,86193
2013-02-17,71185
2013-02-18,47520
2013-02-19,61244
2013-02-20,66512
2013-02-21,73897
2013-02-22,83698
2013-02-23,84190
2013-02-24,62752
2013-02-25,56066
2013-02-26,58463
2013-02-27,64234
2013-02-28,73800
2013-03-01,89967
2013-03-02,88234
2013-03-03,70969
2013-03-04,65841
2013-03-05,58436
2013-03-06,66191
2013-03-07,71752
2013-03-08,82931
2013-03-09,80623
2013-03-10,65338
2013-03-11,67022
2013-03-12,67319
2013-03-13,71989
2013-03-14,79022
2013-03-15,95706
2013-03-16,132541
2013-03-17,78966
2013-03-18,68590
2013-03-19,71316
2013-03-20,70854
2013-03-21,78727
2013-03-22,90709
2013-03-23,82433
2013-03-24,60820
2013-03-25,50875
2013-03-26,52958
2013-03-27,56457
2013-03-28,63865
2013-03-29,70101
2013-03-30,64297
2013-03-31,46523
2013-04-01,52994
2013-04-02,56921
2013-04-03,62325
2013-04-04,68166
2013-04-05,84988
2013-04-06,81113
2013-04-07,65599
2013-04-08,61193
2013-04-09,63229
2013-04-10,66145
2013-04-11,74961
2013-04-12,86618
2013-04-13,85445
2013-04-14,66303
2013-04-15,62408
2013-04-16,65283
2013-04-17,75911
2013-04-18,74780
2013-04-19,89378
2013-04-20,86061
2013-04-21,67259
2013-04-22,59122
2013-04-23,71748
2013-04-24,69450
2013-04-25,74992
2013-04-26,81976
2013-04-27,83822
2013-04-28,64624
2013-04-29,53777
2013-04-30,60072
2013-05-01,64288
2013-05-02,75401
2013-05-03,89842
2013-05-04,85529
2013-05-05,68048
2013-05-06,59362
2013-05-07,63420
2013-05-08,66979
2013-05-09,78111
2013-05-10,85712
2013-05-11,76164
2013-05-12,58942
2013-05-13,59543
2013-05-14,62447
2013-05-15,69170
2013-05-16,75392
2013-05-17,92021
2013-05-18,93211
2013-05-19,81733
2013-05-20,70556
2013-05-21,69697
2013-05-22,69963
2013-05-23,81161
2013-05-24,78493
2013-05-25,79578
2013-05-26,71121
2013-05-27,44633
2013-05-28,60221
2013-05-29,66707
2013-05-30,73509
2013-05-31,90002
2013-06-01,96641
2013-06-02,78723
2013-06-03,66947
2013-06-04,70131
2013-06-05,71164
2013-06-06,79628
2013-06-07,88888
2013-06-08,96595
2013-06-09,80348
2013-06-10,69749
2013-06-11,73062
2013-06-12,74508
2013-06-13,80010
2013-06-14,89934
2013-06-15,93621
2013-06-16,75381
2013-06-17,67316
2013-06-18,68504
2013-06-19,71553
2013-06-20,75429
2013-06-21,89722
2013-06-22,92159
2013-06-23,80300
2013-06-24,70138
2013-06-25,72888
2013-06-26,69305
2013-06-27,76324
2013-06-28,95828
2013-06-29,93765
2013-06-30,77836
2013-07-01,57288
2013-07-02,56979
2013-07-03,65781
2013-07-04,65732
2013-07-05,70849
2013-07-06,75749
2013-07-07,62269
2013-07-08,60807
2013-07-09,64470
2013-07-10,69461
2013-07-11,77688
2013-07-12,88910
2013-07-13,99427
2013-07-14,80448
2013-07-15,68050
2013-07-16,71019
2013-07-17,74925
2013-07-18,82109
2013-07-19,98867
2013-07-20,102618
2013-07-21,83421
2013-07-22,70472
2013-07-23,67816
2013-07-24,67681
2013-07-25,74708
2013-07-26,86164
2013-07-27,89905
2013-07-28,72649
2013-07-29,59357
2013-07-30,65067
2013-07-31,71891
2013-08-01,78530
2013-08-02,97686
2013-08-03,97044
2013-08-04,82245
2013-08-05,65181
2013-08-06,60891
2013-08-07,69777
2013-08-08,72061
2013-08-09,87319
2013-08-10,92982
2013-08-11,75267
2013-08-12,63076
2013-08-13,65386
2013-08-14,73045
2013-08-15,78693
2013-08-16,92406
2013-08-17,98730
2013-08-18,75602
2013-08-19,59931
2013-08-20,66899
2013-08-21,74458
2013-08-22,82004
2013-08-23,88326
2013-08-24,90734
2013-08-25,73103
2013-08-26,60487
2013-08-27,66867
2013-08-28,68275
2013-08-29,75703
2013-08-30,88264
2013-08-31,89551
2013-09-01,84179
2013-09-02,50784
2013-09-03,54662
2013-09-04,59592
2013-09-05,64450
2013-09-06,83364
2013-09-07,90780
2013-09-08,77644
2013-09-09,69538
2013-09-10,73042
2013-09-11,74608
2013-09-12,80803
2013-09-13,92711
2013-09-14,97574
2013-09-15,84555
2013-09-16,66630
2013-09-17,68830
2013-09-18,80429
2013-09-19,83538
2013-09-20,97427
